Id,Positions,Price,Area,Time,Date
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,21,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,22,2024-02-03
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,23,2024-02-02
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,00,2024-02-03
9147bfe23db6475b8904831ada517ac0,10.0,26.8,SE1,01,2024-02-03
9147bfe23db6475b8904831ada517ac0,5.0,26.8,SE1,02,2024-02-03
9147bfe23db6475b8904831ada517ac0,5.0,26.8,SE1,03,2024-02-03
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,04,2024-02-03
9147bfe23db6475b8904831ada517ac0,10.0,26.8,SE1,05,2024-02-03
9147bfe23db6475b8904831ada517ac0,22.0,26.8,SE1,06,2024-02-03
9147bfe23db6475b8904831ada517ac0,5.0,26.8,SE1,07,2024-02-03
9147bfe23db6475b8904831ada517ac0,13.0,26.8,SE1,08,2024-02-03
9147bfe23db6475b8904831ada517ac0,18.0,26.8,SE1,09,2024-02-03
9147bfe23db6475b8904831ada517ac0,21.0,26.8,SE1,10,2024-02-03
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,11,2024-02-03
9147bfe23db6475b8904831ada517ac0,13.0,26.8,SE1,12,2024-02-03
9147bfe23db6475b8904831ada517ac0,12.0,26.8,SE1,13,2024-02-03
9147bfe23db6475b8904831ada517ac0,20.0,26.8,SE1,14,2024-02-03
9147bfe23db6475b8904831ada517ac0,5.0,26.8,SE1,15,2024-02-03
9147bfe23db6475b8904831ada517ac0,10.0,26.8,SE1,16,2024-02-03
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,17,2024-02-03
9147bfe23db6475b8904831ada517ac0,20.0,26.8,SE1,18,2024-02-03
9147bfe23db6475b8904831ada517ac0,5.0,26.8,SE1,19,2024-02-03
9147bfe23db6475b8904831ada517ac0,10.0,26.8,SE1,20,2024-02-03
9147bfe23db6475b8904831ada517ac0,15.0,26.8,SE1,21,2024-02-03
9147bfe23db6475b8904831ada517ac0,20.0,26.8,SE1,22,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,23,2024-02-02
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,00,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,01,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,02,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,03,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,04,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,05,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,06,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,07,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,08,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,09,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,10,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,11,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,12,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,13,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,0.0,29.8,SE1,14,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,0.0,29.8,SE1,15,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,0.0,29.8,SE1,16,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,0.0,29.8,SE1,17,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,0.0,29.8,SE1,18,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,19,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,20,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,21,2024-02-03
4bee3c7fa0ba43999697e3cd1491d3a3,5.0,29.8,SE1,22,2024-02-03
f16dd89eff5a455cb0c887ac807491ae,5.0,45.3,SE2,14,2024-02-03
f16dd89eff5a455cb0c887ac807491ae,10.0,45.3,SE2,15,2024-02-03
f16dd89eff5a455cb0c887ac807491ae,15.0,45.3,SE2,16,2024-02-03
f16dd89eff5a455cb0c887ac807491ae,20.0,45.3,SE2,17,2024-02-03
e4a181db9be44aa0b9abf4a151b70599,7.0,45.7,SE3,16,2024-02-03
e4a181db9be44aa0b9abf4a151b70599,13.0,45.7,SE3,17,2024-02-03
e4a181db9be44aa0b9abf4a151b70599,3.0,45.7,SE3,18,2024-02-03
e4a181db9be44aa0b9abf4a151b70599,20.0,45.7,SE3,19,2024-02-03
65ffadcaf26842b390175079207e326c,-7.0,22.7,SE3,16,2024-02-03
65ffadcaf26842b390175079207e326c,-13.0,22.7,SE3,17,2024-02-03
65ffadcaf26842b390175079207e326c,-3.0,22.7,SE3,18,2024-02-03
65ffadcaf26842b390175079207e326c,-20.0,22.7,SE3,19,2024-02-03
